word,translation
de,of
que,than
la,the
y,and
el,he
en,in
es,it is
lo,the
se,I know
los,the
por,by
para,for
una,a
con,with
del,of the
al,to the
yo,me
las,the
mi,me
pero,but
como,how
más,plus
ha,he has
así,So
eso,that
hoy,today
su,its
muy,very
gracias,Thank you
todos,everyone
todo,everything
tu,you
qué,than
pues,well
estoy,am
ver,see
hay,there are
siempre,forever
han,have
tiene,have
vida,lifetime
buenas,good
porque,why
sin,without
puede,may
mucho,much
esto,this
cada,every
ahora,now
noches,nights
cuando,when
día,day
esta,is
eres,you are
aquí,here
tú,you
mejor,best
vez,time
está,is
veremos,we will see
ese,that
nada,nothing
gente,people
hace,does
esa,that
años,years
vamos,we go
desde,since
madre,mother
era,was
quiero,I want
voy,I go
veo,I see
mismo,same
tengo,I have
también,too
dice,He says
soy,I am
ninguno,none
poco,little bit
menos,less
personas,persons
algo,something
gusta,like
creo,I believe
dios,God
partido,match
muchos,Many
decir,say
cuenta,bill
vaya,go
mundo,world
